def	fit	ion	x0	tag	sumFormula	x_Lo	x_Hi	d2_Ctr	d2_Lo	d2_Hi	d1_Ctr	d1_Lo	d1_Hi	d0_Ctr	d0_Lo	d0_Hi	calFac	calUnit	charge	ionizFrac	fragOf	isotopeOf	comments	standards	families	baseline	intCalIn
1	1	C+	11.999451		C	11.998097	12.001903												1								
1	1	CH+	13.007276		CH	13.005321	13.009231												1								
1	1	N+	14.002525		N	14.000519	14.004531												1								
1	1	CH2+	14.015101		CH2	14.013095	14.017107												1								
1	1	HN+	15.010350		HN	15.008293	15.012407												1								
1	1	CH3+	15.022927		CH3	15.020869	15.024985												1								
1	1	O+	15.994366		O	15.992808	15.997022												1								
1	1	H2N+	16.018175		H2N	16.016615	16.020833												1								
1	1	HO+	17.002191		HO	17.000581	17.004899												1								
1	1	H3N+	17.026001		H3N	17.023841	17.028161												1								
1	1	CH5+	17.038577		CH5	17.036964	17.041286												1								
1	1	H2O+	18.010016		H2O	18.007806	18.012226												1								
1	1	H4N+	18.033826		H4N	18.031615	18.036037												1								
1	1	H3O+	19.017841		H3O	19.016128	19.020652												1								
1	1	C2H2+	26.015101		C2H2	26.012482	26.017720												1								
1	1	CHN+	27.010350		CHN	27.007680	27.013020												1								
1	1	C2H3+	27.022927		C2H3	27.020256	27.025598												1								
1	1	CO+	27.994366		CO	27.991646	27.997086												1								
1	1	N2+	28.005599		N2	28.002878	28.008320												1								
1	1	CH2N+	28.018175		CH2N	28.015454	28.020896												1								
1	1	C2H4+	28.030752		C2H4	28.028030	28.033474												1								
1	1	CHO+	29.002191		CHO	28.999419	29.004963												1								
1	1	HN2+	29.013424		HN2	29.010652	29.016196												1								
1	1	CH3N+	29.026001		CH3N	29.023228	29.028774												1								
1	1	C2H5+	29.038577		C2H5	29.035803	29.041351												1								
1	1	NO+	29.997440		NO	29.994617	30.000263												1								
1	1	CH2O+	30.010016		CH2O	30.007742	30.013388												1								
1	1	H2N2+	30.021249		H2N2	30.018425	30.024073												1								
1	1	CH4N+	30.033826		CH4N	30.031002	30.036650												1								
1	1	C2H6+	30.046402		C2H6	30.043577	30.049227												1								
1	1	HNO+	31.005265		HNO	31.002391	31.008139												1								
1	1	CH3O+	31.017841		CH3O	31.014966	31.020716												1								
1	1	H3N2+	31.029075		H3N2	31.026200	31.031950												1								
1	1	CH5N+	31.041651		CH5N	31.038775	31.044527												1								
1	1	C2H7+	31.054227		C2H7	31.051350	31.057104												1								
1	1	S+	31.971523		S	31.9685	31.9746												1						SulfurPoly		
1	1	O2+	31.989281		O2	31.9862	31.9924		0.00																		
1	1	H2NO+	32.013090		H2NO	32.0100	32.0162		0.00																		
1	1	CH6N+	32.049476		CH6N	32.0465	32.0524												1								
1	1	HS+	32.979348		HS	32.976373	32.982323												1						SulfurPoly		
1	1	H2P+	32.988863		H2P	32.985888	32.991838												1								
1	1	HO2+	32.997106		HO2	32.994130	33.000082												1								
1	1	H3NO+	33.020915		H3NO	33.018487	33.024441												1								
1	1	CH5O+	33.033491		CH5O	33.030513	33.036469												1								
1	1	H5N2+	33.044725		H5N2	33.041747	33.047703												1								
1	1	H2S+	33.987173		H2S	33.984147	33.990199												1								
1	1	H3P+	33.996689		H3P	33.993662	33.999716												1								
1	1	H2O2+	34.004931		H2O2	34.001904	34.007958												1								
1	1	H4NO+	34.028740		H4NO	34.026260	34.032318												1								
1	1	H3S+	34.994998		H3S	34.991920	34.998076												1								
1	1	H4P+	35.004514		H4P	35.001436	35.007592												1								
1	1	H5NO+	35.036565		H5NO	35.034034	35.040194												1								
1	1	CH7O+	35.049141		CH7O	35.046060	35.052222												1								
1	1	H[35Cl]+	35.976129		H[35Cl]	35.9729	35.9794												1						explIso		
1	1	H4O2+	36.020581		H4O2	36.017999	36.024259												1								
1	1	CH3NLi+	36.042004		CH3NLi	36.038873	36.045135												1								
1	1	H6NO+	36.044390		H6NO	36.041259	36.047521												1								
1	1	CH8O+	36.056966		CH8O	36.053834	36.060098												1								
1	1	H2[35Cl]+	36.983954		H2[35Cl]	36.9807	36.9872												1						explIso		
0	1	H5O2+	37.028406		H5O2	37.005	37.05												1								
1	1	CH4Li3+	37.078762		CH4Li3	37.075578	37.081946												1								
1	1	H[37Cl]+	37.973179		H[37Cl]	37.9699	37.9765												1						explIso		
1	1	C3H2+	38.015101		C3H2	38.011869	38.018333												1								
1	1	K+	38.963158		K	38.959877	38.966439												1								
1	1	H2[37Cl]+	38.981004		H2[37Cl]	38.9776	38.9844												1						explIso		
1	1	C3H3+	39.022927		C3H3	39.019643	39.026211												1								
1	1	Ar+	39.961835		Ar	39.959051	39.965715												1								
1	1	Ca+	39.962042		Ca	39.958710	39.965374												1								
1	1	C2H2N+	40.018175		C2H2N	40.015389	40.022059												1								
1	1	HAr+	40.969660		HAr	40.966825	40.973591												1								
1	1	C2HO+	41.002191		C2HO	40.998806	41.005576												1								
1	1	C2H3N+	41.026001		C2H3N	41.022615	41.029387												1								
1	1	C3H5+	41.038577		C3H5	41.035190	41.041964												1					ARICalGas2	CalGasOliktok;ARICalTank1		
1	1	C2H2O+	42.010016		C2H2O	42.006580	42.013452												1								
1	1	CH2N2+	42.021249		CH2N2	42.017812	42.024686												1								
1	1	C2H4N+	42.033826		C2H4N	42.030389	42.037263												1				Acetonitrile	ARICalGas2	CalGasOliktok;ARICalTank1;HAPMAPCal;CalGasTX		3.65
1	1	C2H3O+	43.017841		C2H3O	43.014353	43.021329												1								
1	1	CH3N2+	43.029075		CH3N2	43.025587	43.032563												1								
1	1	C2H5N+	43.041651		C2H5N	43.038162	43.045140												1								
1	1	C3H7+	43.054227		C3H7	43.050737	43.057717												1				Propene		CalGasTX		
1	1	CO2+	43.989281		CO2	43.985744	43.992818												1								
1	1	N2O+	44.000514		N2O	43.996976	44.004052												1								
1	1	CH2NO+	44.013090		CH2NO	44.009551	44.016629												1								
1	1	C2H4O+	44.025666		C2H4O	44.022127	44.029205												1								
1	1	C2H6N+	44.049476		C2H6N	44.045936	44.053016												1								
1	1	C3H8+	44.062052		C3H8	44.058511	44.065593												1								
1	1	CHS+	44.979348		CHS	44.9757	44.9829		0.00										1								
1	1	CHO2+	44.997106		CHO2	44.993517	45.000695												1								
1	1	C2H5O+	45.033491		C2H5O	45.029900	45.037082										5.750e-03	ppb	1				Acetaldehyde		CalGasTX;HAPMAPExp;calFact;VTCal		2.87
1	1	C3H9+	45.069877		C3H9	45.066284	45.073470												1								
1	1	NO2+	45.992355		NO2	45.9887	45.9960												1								
1	1	C2H3F+	46.021330		C2H3F	46.0177	46.0250												1								
1	1	CH4NO+	46.028740		CH4NO	46.0251	46.0324												1								
1	1	C2H8N+	46.065126		C2H8N	46.0615	46.0688												1								
1	1	HNa2+	46.986815		HNa2	46.9831	46.9905												1								
1	1	HNO2+	47.000180		HNO2	46.9965	47.0039												1								
1	1	CH3O2+	47.012756		CH3O2	47.0091	47.0164												1								
1	1	H3N2O+	47.023989		H3N2O	47.0208	47.0282												1								
1	1	CH5NO+	47.036565		CH5NO	47.0329	47.0403												1								
1	1	C2H7O+	47.049141		C2H7O	47.0454	47.0528												1					ARICalGas2	ARICalTank1;HAPMAPCal		2.06
1	1	CH7N2+	47.060375		CH7N2	47.0567	47.0641												1								
1	1	O3+	47.984195		O3	47.9805	47.9879												1								
1	1	C2HNa+	47.997046		C2HNa	47.9933	48.0008												1								
1	1	H2NO2+	48.008005		H2NO2	48.0043	48.0117												1								
1	1	CH2[35Cl]+	48.983954		CH2[35Cl]	48.9801	48.9878												1						explIso		
1	1	C4H+	49.007276		C4H	49.0035	49.0111												1								
1	1	CH5S+	49.010648		CH5S	49.0069	49.0144												1				Methanethiol		HAPMAPCal		2.12
1	1	CH5O2+	49.028406		CH5O2	49.0246	49.0322												1								
1	1	CH3[35Cl]+	49.991779		CH3[35Cl]	49.9879	49.9957												1						explIso		
1	1	H2O3+	49.999845		H2O3	49.9966	50.0042												1								
1	1	C4H2+	50.015101		C4H2	50.0113	50.0189												1								
1	1	C2H10O+	50.072616		C2H10O	50.0688	50.0765												1								
1	1	O[35Cl]+	50.963219		O[35Cl]	50.9593	50.9671												1						explIso		
1	1	CH2[37Cl]+	50.981004		CH2[37Cl]	50.9771	50.9849												1						explIso		
1	1	CH4[35Cl]+	50.999604		CH4[35Cl]	50.9957	51.0035												1						explIso		
1	1	C4H3+	51.022927		C4H3	51.0190	51.0268												1								
1	1	H5NO2+	51.031480		H5NO2	51.0276	51.0354												1								
1	1	CH7O2+	51.044056		CH7O2	51.0402	51.0480												1								
1	1	Cr+	51.939958		Cr	51.9360	51.9439												1								
1	1	CH3[37Cl]+	51.988829		CH3[37Cl]	51.9849	51.9928												1						explIso		
1	1	C3O+	51.994366		C3O	51.9904	51.9983												1								
1	1	CH2F2+	52.011908		CH2F2	52.0080	52.0159												1								
1	1	C3H2N+	52.018175		C3H2N	52.0142	52.0221												1								
1	1	C4H4+	52.030752		C4H4	52.0268	52.0347												1								
1	1	H6NO2+	52.039305		H6NO2	52.0354	52.0433												1								
1	1	CH8O2+	52.051881		CH8O2	52.0479	52.0558												1								
1	1	O[37Cl]+	52.960269		O[37Cl]	52.9563	52.9643												1						explIso		
1	1	CH4[37Cl]+	52.996654		CH4[37Cl]	52.9926	53.0007												1						explIso		
1	1	C3HO+	53.002191		C3HO	52.9982	53.0062												1								
1	1	C3H3N+	53.026001		C3H3N	53.0220	53.0300												1								
1	1	C4H5+	53.038577		C4H5	53.0346	53.0426												1								
1	1	CHNAl+	53.991889		CHNAl	53.9878	53.9959												1								
1	1	C2H2Si+	53.992028		C2H2Si	53.9880	53.9961												1								
1	1	C3H2O+	54.010016		C3H2O	54.0060	54.0141												1								
1	1	C3H4N+	54.033826		C3H4N	54.0298	54.0379												1				Acrylonitrile	ARICalGas2	ARICalTank1;HAPMAPCal		3.85
1	1	C4H6+	54.046402		C4H6	54.0424	54.0505												1								
1	1	H8NO2+	54.054955		H8NO2	54.0515	54.0596												1								
1	1	C3H3O+	55.017841		C3H3O	55.0137	55.0219												1								
0	1	H7O3+	55.038971		H7O3	55.0200	55.0500												1								
1	1	C4H7+	55.054227		C4H7	55.0501	55.0583												1								
1	1	C2H2NO+	56.013090		C2H2NO	56.0095	56.0178												1								
1	1	C3H4O+	56.025666		C3H4O	56.0215	56.0298												1								
1	1	C3H6N+	56.049476		C3H6N	56.0453	56.0536												1								
1	1	C4H8+	56.062052		C4H8	56.0579	56.0662												1								
1	1	C3H5O+	57.033491		C3H5O	57.0293	57.0377										1.093e-03	ppb	1				Acrolein		CalGasTX;HAPMAPExp;calFact;VTCal		1.57
1	1	C2H5N2+	57.044725		C2H5N2	57.0405	57.0489												1								
1	1	C3H7N+	57.057301		C3H7N	57.0531	57.0615												1								
1	1	C4H9+	57.069877		C4H9	57.0657	57.0741												1								
1	1	C2H2O2+	58.004931		C2H2O2	58.0012	58.0097												1								
1	1	C2H4NO+	58.028740		C2H4NO	58.0245	58.0330												1								
1	1	C3H6O+	58.041316		C3H6O	58.0371	58.0456												1								
1	1	C3H8N+	58.065126		C3H8N	58.0609	58.0694												1								
1	1	C4H10+	58.077702		C4H10	58.0734	58.0820												1								
1	1	C2H3O2+	59.012756		C2H3O2	59.0085	59.0171												1								
1	1	C3H7O+	59.049141		C3H7O	59.0448	59.0534												1				Acetone	ARICalGas2	CalGasOliktok;ARICalTank1;HAPMAPCal;CalGasTX;VTCal		2.99
1	1	C4H11+	59.085527		C4H11	59.0812	59.0898												1								
1	1	<unknown0004>	59.965337			59.9604	59.9703																				
1	1	<unknown0005>	60.046414			60.0414	60.0514																				
1	1	<unknown0006>	60.080892			60.0759	60.0859																				
1	1	CHSO+	60.974262		CHSO	60.9699	60.9787												1								
1	1	C2H5O2+	61.028406		C2H5O2	61.0240	61.0328												1								
1	1	C3H9O+	61.064791		C3H9O	61.0604	61.0692												1								
1	1	C2H[37Cl]+	61.973179		C2H[37Cl]	61.9687	61.9776												1						explIso		
1	1	C2H3[35Cl]+	61.991779		C2H3[35Cl]	61.9873	61.9962												1						explIso		
1	1	C5H2+	62.015101		C5H2	62.0106	62.0196												1								
1	1	CH4NO2+	62.023655		CH4NO2	62.0192	62.0281												1								
1	1	C2H8NO+	62.060040		C2H8NO	62.0561	62.0650												1								
1	1	<unknown0002>	62.928639			62.9234	62.9338																				
1	1	CO[35Cl]+	62.963219		CO[35Cl]	62.9587	62.9677												1						explIso		
1	1	HNO3+	62.995094		HNO3	62.9906	62.9996												1								
1	1	CH3O3+	63.007670		CH3O3	63.0037	63.0127												1								
1	1	C5H3+	63.022927		C5H3	63.0184	63.0274												1								
1	1	C2H7S+	63.026298		C2H7S	63.0218	63.0308												1				ethanethiol/DMS		HAPMAPCal		2.04
1	1	CH5NO2+	63.031480		CH5NO2	63.0270	63.0360												1								
1	1	C2H7O2+	63.044056		C2H7O2	63.0395	63.0486												1								
1	1	S2+	63.943594		S2	63.9384	63.9488		0.00										1						SulfurPoly		
1	1	SO2+	63.961352		SO2	63.9568	63.9659												1								
1	1	H2NSO+	63.985161		H2NSO	63.9806	63.9897												1								
1	1	C2H3[37Cl]+	63.988829		C2H3[37Cl]	63.9843	63.9934												1						explIso		
1	1	H2NO3+	64.002919		H2NO3	63.9984	64.0075												1								
1	1	C4H2N+	64.018175		C4H2N	64.0142	64.0233												1								
1	1	CH6NO2+	64.039305		CH6NO2	64.0347	64.0439												1								
1	1	<unknown0003>	64.926170			64.9209	64.9315																				
1	1	HS2+	64.951419		HS2	64.9461	64.9567												1						SulfurPoly		
1	1	CO[37Cl]+	64.960269		CO[37Cl]	64.9557	64.9648												1						explIso		
1	1	C2H3F2+	65.019733		C2H3F2	65.0151	65.0243												1								
1	1	CH5O3+	65.023320		CH5O3	65.0187	65.0279												1								
1	1	C5H5+	65.038577		C5H5	65.0340	65.0432												1								
1	1	C2H9O2+	65.059706		C2H9O2	65.0551	65.0643												1								
1	1	C4H2O+	66.010016		C4H2O	66.0059	66.0152												1								
1	1	H4NO3+	66.018569		H4NO3	66.0139	66.0232												1								
1	1	C4H4N+	66.033826		C4H4N	66.0292	66.0385												1								
1	1	C5H6+	66.046402		C5H6	66.0417	66.0511												1								
1	1	C4H3O+	67.017841		C4H3O	67.0131	67.0226												1								
1	1	CH7O3+	67.038971		CH7O3	67.0343	67.0437												1								
1	1	C5H7+	67.054227		C5H7	67.0495	67.0589												1								
1	1	C3O2+	67.989281		C3O2	67.9851	67.9946												1								
1	1	C3H2NO+	68.013090		C3H2NO	68.0089	68.0184												1								
1	1	C4H4O+	68.025666		C4H4O	68.0209	68.0304												1								
1	1	C4H6N+	68.049476		C4H6N	68.0447	68.0542												1								
1	1	C5H8+	68.062052		C5H8	68.0578	68.0674												1								
1	1	H2O2[35Cl]+	68.973783		H2O2[35Cl]	68.9690	68.9785												1						explIso		
1	1	C3HO2+	68.997106		C3HO2	68.9923	69.0019												1								
1	1	C4H5O+	69.033491		C4H5O	69.0287	69.0383												1								
1	1	CH9O3+	69.054621		CH9O3	69.0498	69.0594												1								
1	1	C5H9+	69.069877		C5H9	69.0651	69.0747												1				Isoprene	ARICalGas2	CalGasOliktok;ARICalTank1;HAPMAPCal;CalGasTX;VTCal		1.92
1	1	[35Cl]2+	69.937157		[35Cl]2	69.9324	69.9420												1						explIso		
1	1	C2NO2+	69.992355		C2NO2	69.9875	69.9972												1								
1	1	C3H4NO+	70.028740		C3H4NO	70.0239	70.0336												1								
1	1	C4H6O+	70.041316		C4H6O	70.0364	70.0462												1								
1	1	C4H8N+	70.065126		C4H8N	70.0603	70.0700												1								
1	1	C5H10+	70.077702		C5H10	70.0734	70.0831												1								
1	1	H2O2[37Cl]+	70.970833		H2O2[37Cl]	70.9660	70.9757												1						explIso		
1	1	C3H3O2+	71.012756		C3H3O2	71.0078	71.0177												1								
1	1	C4H7O+	71.049141		C4H7O	71.0442	71.0541												1					ARICalGas2	CalGasOliktok;ARICalTank1		
1	1	C5H11+	71.085527		C5H11	71.0806	71.0904												1								
1	1	[35Cl][37Cl]+	71.934207		[35Cl][37Cl]	71.9293	71.9391												1						explIso		
1	1	C2H2NO2+	72.008005		C2H2NO2	72.0036	72.0135												1								
1	1	C3H4O2+	72.020581		C3H4O2	72.0162	72.0261												1								
1	1	C3H6NO+	72.044390		C3H6NO	72.0394	72.0494												1								
1	1	C4H8O+	72.056966		C4H8O	72.0525	72.0625												1								
1	1	C4H10N+	72.080776		C4H10N	72.0758	72.0857												1								
1	1	C3H5O2+	73.028406		C3H5O2	73.0234	73.0334												1								
1	1	C3H9Si+	73.046803		C3H9Si	73.0418	73.0518												1								
1	1	H9O4+	73.049535		H9O4	73.0445	73.0546												1								
1	1	CH5N4+	73.050873		CH5N4	73.0459	73.0559												1								
1	1	C4H9O+	73.064791		C4H9O	73.0598	73.0698												1				MEK	ARICalGas2	ARICalTank1;HAPMAPCal;HAPMAPExp;CalGasTX;VTCal		2.92
1	1	<unknown0001>	73.077144			73.0720	73.0823																				
1	1	CH2N2O2+	74.011079		CH2N2O2	74.0060	74.0162												1								
1	1	C2H4NO2+	74.023655		C2H4NO2	74.0186	74.0287												1								
1	1	CH4N3O+	74.034888		CH4N3O	74.0298	74.0400												1								
1	1	C3H6O2+	74.036231		C3H6O2	74.0317	74.0419												1								
1	1	C3H8NO+	74.060040		C3H8NO	74.0550	74.0651												1								
1	1	C4H12N+	74.096426		C4H12N	74.0914	74.1015												1								
1	1	C3H4[35Cl]+	74.999604		C3H4[35Cl]	74.9946	75.0046												1						explIso		
1	1	C3H7O2+	75.044056		C3H7O2	75.0389	75.0492												1								
1	1	C3H9NO+	75.067865		C3H9NO	75.0627	75.0730												1								
1	1	C4H9OHH+	75.080441		C4H11O	75.0749	75.0859												1				Butanol, added		CalGasTX		
1	1	CS2+	75.943594		CS2	75.9381	75.9491												1								
1	1	C2H4O3+	76.015495		C2H4O3	76.0109	76.0212												1								
1	1	C2H6NO2+	76.039305		C2H6NO2	76.0341	76.0445												1								
1	1	C3H10NO+	76.075690		C3H10NO	76.0711	76.0814												1								
1	1	CHS2+	76.951419		CHS2	76.9467	76.9572												1								
1	1	C3H4[37Cl]+	76.996654		C3H4[37Cl]	76.9915	77.0018												1						explIso		
1	1	HN2O3+	76.998168		HN2O3	76.9929	77.0034												1								
1	1	C5HO+	77.002191		C5HO	76.9970	77.0074												1								
1	1	C2H5O3+	77.023320		C2H5O3	77.0181	77.0285												1								
1	1	C6H5+	77.038577		C6H5	77.0334	77.0438												1								
1	1	C3H9O2+	77.059706		C3H9O2	77.0545	77.0649												1								
1	1	CH4NSO+	78.000811		CH4NSO	77.9955	78.0061												1								
1	1	CH4NO3+	78.018569		CH4NO3	78.0133	78.0238												1								
1	1	C2H6O3+	78.031145		C2H6O3	78.0264	78.0370												1								
1	1	C5H4N+	78.033826		C5H4N	78.0286	78.0391												1								
1	1	C6H6+	78.046402		C6H6	78.0411	78.0517												1				Benzene		HAPMAPExp;Megan;HAPMAPCal;VTCal		
1	1	C2H8NO2+	78.054955		C2H8NO2	78.0502	78.0608												1								
1	1	C3H12NO+	78.091340		C3H12NO	78.0861	78.0966												1								
1	1	C2H7O3+	79.038971		C2H7O3	79.0336	79.0443												1								
1	1	C6H7+	79.054227		C6H7	79.0489	79.0596												1				Benzene	ARICalGas2	ARICalTank1;CalGasOliktok;HAPMAPCal;HAPMAPExp;Megan;VTCal		1.93
1	1	CH9N3O+	79.074013		CH9N3O	79.0687	79.0793												1								
1	1	C3H11O2+	79.075356		C3H11O2	79.0706	79.0812												1								
1	1	H2NO4+	79.997834		H2NO4	79.9925	80.0032												1								
1	1	C4H2NO+	80.013090		C4H2NO	80.0077	80.0185												1								
1	1	CH6NO3+	80.034219		CH6NO3	80.0294	80.0401												1								
1	1	CH8N2S+	80.040271		CH8N2S	80.0349	80.0457												1								
1	1	C5H6N+	80.049476		C5H6N	80.0441	80.0549												1								
1	1	C6H8+	80.062052		C6H8	80.0567	80.0674												1								
1	1	C5H5O+	81.033491		C5H5O	81.0281	81.0389												1								
1	1	C2H9SO+	81.036863		C2H9SO	81.0314	81.0423												1								
1	1	C2H9O3+	81.054621		C2H9O3	81.0492	81.0601												1								
1	1	C6H9+	81.069877		C6H9	81.0644	81.0753												1					ARICalGas2	CalGasOliktok;ARICalTank1		
1	1	C4H2O2+	82.004931		C4H2O2	82.0000	82.0110												1								
1	1	C4H4NO+	82.028740		C4H4NO	82.0233	82.0342												1								
1	1	C5H6O+	82.041316		C5H6O	82.0358	82.0468												1								
1	1	C5H8N+	82.065126		C5H8N	82.0596	82.0706												1								
1	1	CH10N2O2+	82.073679		CH10N2O2	82.0682	82.0792												1								
1	1	C6H10+	82.077702		C6H10	82.0722	82.0832												1								
1	1	CH[35Cl]2+	82.944982		CH[35Cl]2	82.9396	82.9504												1						explIso		
1	1	H4O3P+	82.989257		H4O3P	82.9837	82.9948												1								
1	1	C2H2F3+	83.010311		C2H2F3	83.0048	83.0158												1								
1	1	C4H3O2+	83.012756		C4H3O2	83.0072	83.0183												1								
1	1	C5H7O+	83.049141		C5H7O	83.0436	83.0547												1				Methylfuran		CalGasTX		
1	1	C2H11O3+	83.070271		C2H11O3	83.0647	83.0758												1								
1	1	C6H11+	83.085527		C6H11	83.0800	83.0911												1								
1	1	C4H4O2+	84.020581		C4H4O2	84.0150	84.0262												1								
1	1	C4H6NO+	84.044390		C4H6NO	84.0388	84.0500												1								
1	1	C5H8O+	84.056966		C5H8O	84.0519	84.0631												1								
1	1	C5H10N+	84.080776		C5H10N	84.0752	84.0864												1								
1	1	C6H12+	84.093352		C6H12	84.0883	84.0995												1								
1	1	CH[35Cl][37Cl]+	84.942032		CH[35Cl][37Cl]	84.9365	84.9475												1						explIso		
1	1	C4H5S+	85.010648		C4H5S	85.0050	85.0163												1								
1	1	C4H5O2+	85.028406		C4H5O2	85.0228	85.0340												1								
1	1	C5H9O+	85.064791		C5H9O	85.0592	85.0704												1								
1	1	C6H13+	85.101177		C6H13	85.0955	85.1068												1								
1	1	C3H2O3+	85.999845		C3H2O3	85.9947	86.0061												1								
1	1	C3H4NS+	86.005897		C3H4NS	86.0002	86.0116												1								
1	1	C2H2N2O2+	86.011079		C2H2N2O2	86.0054	86.0168												1								
1	1	C3H4NO2+	86.023655		C3H4NO2	86.0180	86.0293												1								
1	1	C4H6O2+	86.036231		C4H6O2	86.0305	86.0419												1								
1	1	C4H8NO+	86.060040		C4H8NO	86.0544	86.0657												1								
1	1	C5H10O+	86.072616		C5H10O	86.0675	86.0789												1								
1	1	C5H12N+	86.096426		C5H12N	86.0907	86.1021												1								
1	1	C3H3O3+	87.007670		C3H3O3	87.0019	87.0134												1								
1	1	C2H3N2O2+	87.018904		C2H3N2O2	87.0137	87.0252												1								
1	1	C4H7O2+	87.044056		C4H7O2	87.0383	87.0498												1						;Print3D		
1	1	C5H11O+	87.080441		C5H11O	87.0747	87.0862												1								
1	1	C6H15+	87.116827		C6H15	87.1111	87.1226												1								
1	1	C2H2NO3+	88.002919		C2H2NO3	87.9977	88.0093												1								
1	1	C3H4O3+	88.015495		C3H4O3	88.0103	88.0218												1								
1	1	C3H6NO2+	88.039305		C3H6NO2	88.0335	88.0451												1								
1	1	C4H10NO+	88.075690		C4H10NO	88.0699	88.0815												1								
1	1	C5H14N+	88.112076		C5H14N	88.1063	88.1179												1								
1	1	C4H6Cl+	89.015254		C4H6Cl	89.0088	89.0217												1				Chloropene, added		Megan;CalGasTX		
1	1	C3H5O3+	89.023320		C3H5O3	89.0175	89.0292												1								
1	1	C2H5N2O2+	89.034554		C2H5N2O2	89.0293	89.0409												1								
1	1	C4H9S+	89.041948		C4H9S	89.0361	89.0478												1								
1	1	C4H9O2+	89.059706		C4H9O2	89.0539	89.0655												1								
1	1	C5H13O+	89.096091		C5H13O	89.0902	89.1019												1								
1	1	C2H4NO3+	90.018569		C2H4NO3	90.0127	90.0245												1								
1	1	C3H8NO2+	90.054955		C3H8NO2	90.0491	90.0608												1								
1	1	C4H10O2+	90.067531		C4H10O2	90.0622	90.0740												1								
1	1	C4H12NO+	90.091340		C4H12NO	90.0854	90.0972												1								
1	1	C2H3O4+	91.002585		C2H3O4	90.9966	91.0085												1								
1	1	C3H7O3+	91.038971		C3H7O3	91.0330	91.0449												1								
1	1	C2H7N2O2+	91.050204		C2H7N2O2	91.0443	91.0561												1								
1	1	C7H7+	91.054227		C7H7	91.0483	91.0602												1								
1	1	C4H11S+	91.057598		C4H11S	91.0517	91.0635												1								
1	1	H11O5+	91.060100		H11O5	91.0542	91.0660												1								
1	1	C4H11O2+	91.075356		C4H11O2	91.0694	91.0813												1								
1	1	C2H6NO3+	92.034219		C2H6NO3	92.0282	92.0402												1								
1	1	C6H6N+	92.049476		C6H6N	92.0435	92.0555												1								
1	1	C7H8+	92.062052		C7H8	92.0561	92.0680												1								
1	1	C4H14NO+	92.106990		C4H14NO	92.1010	92.1130												1								
1	1	C2H5O4+	93.018235		C2H5O4	93.0122	93.0243												1								
1	1	C6H5O+	93.033491		C6H5O	93.0274	93.0395												1								
1	1	C3H9O3+	93.054621		C3H9O3	93.0486	93.0607												1								
1	1	C7H9+	93.069877		C7H9	93.0638	93.0759											ppb	1				Toluene		HAPMAPExp;Megan		2.05
1	1	C2H6O4+	94.026060		C2H6O4	94.0205	94.0327												1								
1	1	C5H4NO+	94.028740		C5H4NO	94.0226	94.0348												1								
1	1	C6H6O+	94.041316		C6H6O	94.0352	94.0474												1								
1	1	C2H8NO3+	94.049870		C2H8NO3	94.0438	94.0560												1								
1	1	C6H8N+	94.065126		C6H8N	94.0590	94.0712												1								
1	1	C7H10+	94.077702		C7H10	94.0722	94.0843												1								
1	1	H14O5+	94.083575		H14O5	94.0775	94.0897												1								
1	1	O[79Br]+	94.912704		O[79Br]	94.9067	94.9187												1						explIso		
1	1	C2H7S2+	94.998369		C2H7S2	94.9922	95.0045												1								
1	1	C5H3O2+	95.012756		C5H3O2	95.0066	95.0189												1								
1	1	C2H7O4+	95.033885		C2H7O4	95.0283	95.0406												1								
1	1	C5H5NO+	95.036565		C5H5NO	95.0310	95.0433												1								
1	1	C6H7O+	95.049141		C6H7O	95.0430	95.0553												1								
1	1	C7H11+	95.085527		C7H11	95.0794	95.0917												1								
1	1	S3+	95.915665		S3	95.9089	95.9224												1						SulfurPoly		
1	1	C2H2[35Cl]2+	95.952807		C2H2[35Cl]2	95.9468	95.9588												1						explIso		
1	1	C5H4O2+	96.020581		C5H4O2	96.0144	96.0268												1								
1	1	CH6NO4+	96.029134		CH6NO4	96.0235	96.0359												1								
1	1	C5H6NO+	96.044390		C5H6NO	96.0382	96.0506												1								
1	1	C6H8O+	96.056966		C6H8O	96.0508	96.0632												1								
1	1	C6H10N+	96.080776		C6H10N	96.0746	96.0870												1								
1	1	C7H12+	96.093352		C7H12	96.0877	96.1001												1								
1	1	HS3+	96.923490		HS3	96.9167	96.9303												1						SulfurPoly		
1	1	C2H3[35Cl]2+	96.960632		C2H3[35Cl]2	96.9546	96.9667												1						explIso		
1	1	C2F2[35Cl]+	96.965110		C2F2[35Cl]	96.9591	96.9712												1						explIso		
1	1	C5H5O2+	97.028406		C5H5O2	97.0222	97.0347												1								
1	1	C4H5N2O+	97.039639		C4H5N2O	97.0334	97.0459												1								
1	1	C2H9O4+	97.049535		C2H9O4	97.0433	97.0558												1								
1	1	C6H9O+	97.064791		C6H9O	97.0585	97.0710												1								
1	1	C7H13+	97.101177		C7H13	97.0949	97.1074												1								
1	1	C2H2[35Cl][37Cl]+	97.949857		C2H2[35Cl][37Cl]	97.9438	97.9560												1						explIso		
1	1	H2SO4+	97.966831		H2SO4	97.9605	97.9731												1								
1	1	C4H4NO2+	98.023655		C4H4NO2	98.0174	98.0300												1								
